Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
South Korea,Fukushima wastewater protests,23-Aug,Free,The Japanese government announced plans to start releasing wastewater from the Fukushima nuclear power plant into the Pacific Ocean within weeks,Fears over environmental damage caused by the release of the wastewater.,">1,000",General public,Active,No policy/leadership change in response to the protests.,X,,X,,Thousands,,,,,,Seoul
South Korea,Candlelight demonstrations,16-Oct,Free,"Revelations that Choi Soon-sil, the confidante and old friend of then president Park Geun-hye, exercised undue influence. Choi allegedly urged businesses to donate to her own foundations in return for political favors, accessed classified government documents despite lacking the necessary authorization, and played a role in selecting presidential aides.","Improper influence of outside individuals, including friends of politicians as well as business elites and family-run conglomerates; increasing class divisions and inequality and lack of social mobility and economic opportunity, especially for younger citizens; and patriarchy and sexism in South Korea.",1.5 million,"Anti-Cho protesters: evangelical Christian activists, conservatives, older citizens; pro-Cho protesters: younger, urban, white-collar workers.",5 months,Park was impeached.,,,X,,Thousands,X,,,,,Seoul
South Korea,Justice minister protests,19-Oct,Free,"Allegations of corruption against the then justice minister, Cho Kuk, who had pushed for prosecutorial reforms.",Government corruption and public distrust of prosecutors.,">100,000","General public, but particularly right-wing activists.",2 months,Then justice minister Cho resigned.,,X,,,Thousands,X,,,,,Seoul
South Korea,Trucker strike and protest,22-Nov,Free,Talks between the government and the truckers union failed to resolve disputes over pay.,Anger with insufficient pay for truckers.,"7,000",Truckers.,Active,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Seoul
Spain,Public healthcare protests,22-Nov,Free,Policies implemented by the conservative regional government in Madrid which protesters said was dismantling the public health system in favor of private providers.,Madrid's healthcare system was struggling to accommodate the high numbers of patients with many unable to access treatment elsewhere,">250,000",General public.,3 months,No policy/leadership change in response to protests.,,X,X,,Hundreds of thousands,,X,,,X,Madrid
Spain,Right-wing antigovernment protests,22-Nov,Free,"Policies implemented by the socialist government, including a modified criminal code which eliminated the crime of sedition and a law against sexual violence that increased punishment for rape but lowered sentences for other sexual crimes.",Fears that these laws will encourage further separatism in Catalonia and higher rates of sexual assault.,"30,000","General public, especially supporters of the Vox party.",2 months,The government committed to amend the sexual consent law to close the loophole through which sex offenders' prison sentences were significantly reduced.,,,X,,Tens of thousands,X,,,,,Madrid
Spain,Water restriction protest,23-Jan,Free,The government introduced plans to reduce the amount of water taken from the Tagus river to irrigate agricultural land in the country's southeast.,Fears that the plans would result in the loss of tens of thousands of farm-related jobs.,">1,000",Farmers.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Madrid
Spain,Anti-violence against women protest,22-Nov,Free,High rates of gender-based violence and femicide; the passage of a law against sexual violence that increased punishment for rape but lowered sentences for other sexual crimes.,Frustration at inadequate response to violence against women.,">1,000",Women.,1 day,The government committed to amend the sexual consent law to close the loophole through which sex offenders' prison sentences were significantly reduced.,,,X,,Thousands,X,,,,,Madrid
Spain,Catalan independence protests,19-Oct,Free,Sentencing of Catalan separatist leaders to prison.,"Catalan independence, dissatisfaction with the government response to the independence movement, and belief that Catalonia should retain more of its own tax revenues.","600,000",Supporters of the former prime minister.,2 months,"No policy/leadership change in response to the protests. After winning support from Catalan separatist party, Prime Minister Pedro Sánchez promised to resolve the Catalan dispute through dialogue.",,X,X,,Thousands,,,X,,,Madrid
Spain,Coronavirus lockdown protest,20-Aug,Free,"Introduction of social restrictions, including smoking bans and the closure of nightclubs, in repsonse to the COVID-19 pandemic.",Opposition to stringent social restrictions and increasingly widespread belief in COVID-related conspiracy theories.,">2,500",Supporters of the far-right Vox party.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,,,Madrid
Spain,Coronavirus protest,20-May,Free,"Protesters’ claims that the government misrepresented the extent of the health crisis, violated citizens’ rights by confining them to their homes and ruling by decree, and damaged the economy.","Economic effects of the lockdown, and concerns of government overreach.",Thousands,Pro-independence groups and their supporters.,1 day,No policy/leadership change in response to the protest.,,X,X,,Thousands,,,,,,Madrid
Spain,Cost of living protests,22-Sep,Free,Rapidly rising prices.,Fears of economic harship as wage increases were failing to compensate for price increases.,">17,000",General public.,2 months,No policy/leadership change in response to protests.,,X,,,Tens of thousands,,,,,,Madrid
Spain,Prostitution bill protest,22-Sep,Free,Parliament introduced a bill that would penalize prostitution customers and sex club owners or pimps with sentences up to 4 years in prison,Fears of losing livelihood among sex workers.,">1,000","Women, especially sex workers and brothel owners.",1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Madrid
Spain,Rapper arrest protests,21-Feb,Free,"The arrest of rapper Pablo Hasel, a supporter of Catalonian independence who was convicted of terrorism-related offenses in the wake of the Catalan independence movement.",Ongoing tensions between advocates of Catalonian independence and the Spanish government and concerns over suppression of free expression.,">1,000","General public, especially supporters of Catalonian independence.",3 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,Madrid
Spain,Rising price protests,22-Mar,Free,"Rising prices for food, fuel, and energy.",Frustration with rising economic pressures and the perceived failure of the government to address rising prices.,">100,000","Farmers, truckers.",1 week,No policy/leadership change in response to protest.,,X,X,,Hundreds of of thousands,,X,,,,Madrid
Sri Lanka,Public sector employee strikes and protests,23-Mar,Partly free,"The government implemented several measures, including an income tax hike, to secure a bailout from the International Monetary Fund to address the country's economic crisis.",Anxieties related to the economic crisis and anger over rising taxes.,>100,Public sector workers.,2 weeks,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,,,,Colombo
Sri Lanka,Easter bombing justice protest,23-Apr,Partly free,Sri Lankan officials had not convicted or sentenced anyone in connection with the April 2019 Easter bombings that killed 269 people and wounded some 500 more.,Anger over the slow pace of the investigation; grief over the human toll caused by the terrorist attacks.,">1,000",General public.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Colombo
Sri Lanka,Election cancellation protests,23-Feb,Partly free,"The government postponed local elections, claiming that the country's economic crisis strapped authorities of funds to hold the vote.",Anger over voters' inability to express their preferences through democratic means.,">1,000",Supporters of the opposition.,1 week,No policy/leadership change in response to the protest.,,,X,X,Thousands,,,,,,Colombo
Sri Lanka,Constitutional crisis protests,18-Oct,Partly free,Then president Maithripala Sirisena’s dismissal of then prime minster Ranil Wickremesinghe and the suspension of parliament.,Fears of majoritarianism and return of minority repression.,"62,500","General public, trade union of professionals, women.",2 days,Wickremasinghe was reappointed as prime minister for a time.,,X,X,,Thousands,,,X,,,Colombo
Sri Lanka,Economic crisis protests,22-Mar,Partly free,"Rapid depreciation of the Sri Lankan rupee, soaring prices, and widespread shortages of goods.","Anger over the government's economic policies, including the perceived mismanagement of debt.",">10,000",General public.,8 months,"All 26 ministers of President Gotabaya Rajapaksa's cabinet resigned in April 2022. In May 2022, the prime minister, Mahinda Rajapaksa, resigned. President Gotabaya Rajapaksa named Ranil Wickremesinghe prime minister. In July 2022, protesters stormed President Gotabaya Rajapaksa's residence, forcing him to flee and resign. Parliament elected Ranil Wickremesinghe as president and then elected Dinesh Gunawardena as prime minister.",,X,X,,Tens of thousands,X,,X,X,,Colombo
Sri Lanka,Justice protests,21-Feb,Partly free,Lack of accountability for abuses during the twenty-six-year civil war.,"Perceived government discrimination against Tamils, centralization of power under Prime Minister Mahinda Rajapaksa’s government, economic discontent, and lack of justice for minority groups and labor groups.",">10,000",General public.,1 year,No policy/leadership change in response to protest.,,X,X,,Thousands,,,,X,,Colombo
Sudan,“Million-man March”,20-Jun,Not free,"Slow transition from military elite control to civilian control, the repeal of Islamic legal restrictions, and a lack of accountability for anti-protester violence. From October 2021, the major trigger was the military's seizure of power on October 25.","Discontent with the military elite’s continued control and influence, including through undermining the country's democratic transition; the slow pace of reforms; and the repeal of Islamic legal restrictions introduced while former president Omar al-Bashir was in power.",">100,000","General public, professional organizations, resistance committees; Islamic groups and supporters of Bashir.",3 years,"In November 2021, Abdalla Hamdok was re-installed as prime minister, though he resigned after mass protests in January 2022. In December 2022, Sudan's junta leaders and opposition groups including Forces of Freedom and Change signed a framework deal that called for a two-year transition to a civilian-led government. Other opposition groups, especially grassroots resistance committees, rejected the deal and called for further protests. In April 2023, conflict broke out between two rival junta leaders, Abdel-Fattah Burhan and Mohammed Dagalo.",,X,X,,Hundreds of thousands,X,X,X,X,,Khartoum
Sudan,Darfur insecurity protests,20-Jul,Not free,Recurring militia attacks in the Darfur region.,Anger over the state’s failure to keep citizens safe from militia attacks.,">1,000",Residents of Darfur.,1 month,The government dismissed the regional chief of police and his deputy.,,X,,X,Thousands,X,,,,,Khartoum
Sudan,National Congress Party protests,19-Oct,Not free,Lack of punitive action against members of former president Omar Bashir’s inner circle.,Frustration over the ongoing influence of members of Bashir’s National Congress Party and impunity for perpetrators of protest crackdowns.,">1,000",General public.,2 months,The government dissolved the National Congress Party.,,,X,,Thousands,,,,,,Khartoum
Sudan,Sudanese revolution,18-Dec,Not free,Hike in bread prices during a period of high inflation.,"Discontent with the ruling party and political and economic elites, economic downturn, and the heavy-handed response to initial protests.",">100,000","Public employees such as military personnel, teachers, police, civil servants.",1 year,Then president Omar Al-Bashir was forced out of office and his regime was dismantled. Bashir was convicted by Sudanese prosecutors of corruption and money laundering and sentenced to two years in prison. Sudanese leaders agreed to hand over Bashir to the International Criminal Court to face charges of crimes against humanity. A transitional government composed of both military and civilian was put in place.,,X,X,,Hundreds,X,,,X,,Khartoum
Suriname,Fuel and electricity price protests,23-Feb,Free,The president ended state subsidies for fuel and electricity on the recommendation of the International Monetary Fund.,Anger over hikes in fuel and electricity prices; fears that the president was seeking to postpone the 2025 general election.,>100,General public.,1 month,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,,,,Paramaribo
Sweden,Restore Wetlands protests,23-Jun,Free,The Swedish government continued to fall short of its climate targets.,Fears of the impacts of climate change.,<100,Climate activists.,Active,No policy/leadership change in response to the protests.,X,,X,,Tens,,,,,,Stockholm
Sweden,Anti-Turkish government protests,23-Jan,Free,"Turkey held up Sweden's accession to NATO, citing Sweden's refusal to extradite to Turkey dozens of individuals whom Turkey linked to the Kurdistan Workers' Party (PKK) terrorist group.","Anger over Sweden's stymied NATO accession om account of Turkey's lack of support, Islamophobia.",>100,"Kurds, Rasmus Paludan.",1 week,Turkish President Erdogan made explicitly clear that Sweden cannot expect Turkey’s support for NATO membership.,,,X,,Hundreds,X,,,,,Stockholm
Switzerland,Coronavirus restriction protests,21-Feb,Free,The imposition of vaccine mandates and public health restrictions across Switzerland.,Frustration with ongoing coronavirus restrictions and mandates; demands for a national referendum on COVID-19 policy.,">10,000",General public.,1 year,"Switzerland held a referendum on legislation enabling coronavirus restrictions, including a health pass in November 2021, which passed.",,,X,,Tens of thousands,X,,,X,X,Bern
Syria,Anti-Assad protests,23-Aug,Not free,"The government slashed fuel subsidies, nearly tripling the price of petrol.","Anger over the country's economic woes, poor delivery of public goods and services, government repression, the continued imprisonment of political prisoners, rampant corruption, and sectarianism.",">1,000",Druze in Sweida,Active,No policy/leadership change in response to the protests.,X,X,X,X,Thousands,,,,,,Damascus
Syria,Anti-normalization protests,23-Apr,Not free,A number of Arab states moved to normalize relations with Syria and proposed returning Syria to the Arab League.,"Anger over the lack of accountability for the Assad regime for its war crimes during the Syrian Civil War, fear of heightened repression and conflict that would result from wider normalization of ties with Syria.",>100,Opposition forces in the northwest of Syria.,1 month,No policy/leadership change in response to the protests.,,,X,,Hundreds,,,,,,Damascus
Syria,Nowruz mass shooting protests,23-Mar,Not free,"Assailants belonging to Jaish al-Sharqiya, a splinter group of Ahrar Sharqiya, shot and killed four Kurdish civilians celebrating the holiday Nowruz.",Anger over perceived mistreatment of and discrimination against Kurdish residents of Jinderis by Turkish-backed opposition groups that have controlled the town since 2018.,">1,000",Kurds in Jinderis,3 days,"An official with the Harakat al-Tahrir wa al-Binaa, a faction within the Syrian National Army, announced that the suspects in the killing had been arrested and promised that local authorities will “deal firmly and forcefully with all perpetrators of crimes and violations against innocent people.”",,,X,,Thousands,X,,,,,Damascus
Syria,2022 economic crisis protests,22-Dec,Not free,The country's deteriorating economic situation.,"Frustration with government ineffectiveness in combating rising prices, power cuts, food and fuel shortages.",200,Druze citizens of Sweida Province.,1 week,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,X,,,Damascus
Syria,Economic crisis protests,20-Jun,Not free,Imposition of U.S. sanctions that decreased the value of the Syrian pound by two-thirds.,Economic insecurity stemming from the rapid devaluation of the Syrian pound.,>500,General public.,1 month,Prime minister Imad Khamis was fired from his post.,,,,X,Thousands,,,,,,Damascus
Taiwan,Pension reform protest,17-Jan,Free,Pension reform plans.,"Discontent with the government, slowing economic growth, and concerns over the pension system's solvency with a rapidly aging population.","12,000","Activist groups, general public.",1 day,No policy/leadership change in response to the protests.,,,,X,Hundreds,,,,,,Taipei
Taiwan,Taiwan “Yellow Vest” protests,18-Dec,Free,High taxes and the unfair handling of tax disputes.,An unfair and confusing taxation system.,"20,000","Coalition of opposition parties, protesters from varying age groups, social classes, ethnicities.",2 weeks,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,,,Taipei
Tajikistan,Gorno-Badakhshan protests,22-May,Not free,The police killing of Gulbiddin Ziyobekov in November 2021 and the government's subsequent rejection of demands to investigate the death and address other grievances.,Frustration at perceived government efforts to reduce the Gorno-Badakhshan region's autonomy and repress activism; persistent police violence.,">1,000",Residents of the Gorno-Badakhshan Autonomous Region.,1 month,No policy/leadership change in response to protest.,,,X,,Thousands,,,X,,,Dushanbe
Thailand,Move Forward protests,23-Jul,Not free,Thailand's Parliament voted to prevent Pita Limjaroenrat of the opposition Move Forward Party from standing for election for the premiership for a second time.,Anger over the perceived anti-democratic actions of the Parliament and Supreme Court.,>100,Supporters of the Move Forward Party,2 weeks,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Bangkok
Thailand,Antigovernment protests,20-Jul,Not free,"Government failure to boost the economy during the pandemic, kidnapping of a leading political activist, and protesters’ desire to repeal Thailand’s strict royal defamation law.","Lack of employment options for recent graudates, laws that shrink freedoms, and discontent with the military-written constitution.",">10,000","Youth groups, general public.",1.5 years,No policy/leadership change in response to the protests.,,X,X,,Tens of thousands,,,,X,,Bangkok
Thailand,Housing project protests,18-Apr,Not free,Construction of a luxury apartment complex on forested land in Chiang Mai.,Concern over environmental degradation and frustration over privileged treatment for public officials.,">1,000",General public.,1 month,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Bangkok
Thailand,Party ban protest,19-Dec,Not free,Move by judicial and electoral authorities to disband the pro-democracy Future Forward Party.,"Frustration over a lack of genuine political pluralism, and repression by the military junta.",">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Hundreds,,,X,,,Bangkok
Thailand,Term limit protests,22-Aug,Not free,Prime Minister Prayuth Chan-ocha refused to step down upon the date which activists considered to be his term limit.,Frustration with the crackdown on dissent and erosion of freedoms since the country's 2014 coup; discontent with the government's mishandling of eonomic and pandemic-related issues.,200,General public.,2 weeks,"Thailand's constitutional court suspended Prayuth Chan-ocha from official duties while it considered the opposition's case that Prayuth reached his term limit. Deputy Prime Minister Prawit Wongsuwan became caretaker prime minister. In September 2022, the country's Constitutional Court ruled that Prayuth Chan-ocha's term began in 2017, not 2014, and thus allowed him to stay in power.",,,X,,Hundreds,X,,,,,Bangkok
Togo,Term limit protests,17-Sep,Partly free,Demands for presidential term limits on President Faure Gnassingbé.,"Concerns over dynastic politics, poor living conditions, and high youth unemployment.","800,000",General public.,7 months,No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,,,
Tunisia,Nizar Issaoui protests,23-Apr,Partly free,"Nizar Issaoui, a Tunisian soccer player, died by self-immolation to protest abuse by Tunisian police officers. Issaoui claimed that police accused him of terrorism when he complained about the price of bananas.",Anger over police abuse.,>100,General public.,2 days,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Tunis
Tunisia,Power grab protests,21-Sep,Free,"President Kais Saied's efforts to seize governing power by suspending constitutional provisions, ruling by decree, and dismissing parliament.","Concerns that Saied is undermining Tunisian democracy and moving toward authoritarian rule, anger over Saied's crackdown of dissent, and discontent over economic mismanagement, unemployment, and poverty.",">2,000",General public.,Active,"Saied appointed a new prime minister, Najla Bouden Romdhan, and in December 2021 announced that a constitutional referendum and new elections would be held in 2022.",X,X,X,,Thousands,X,,,X,,Tunis
Tunisia,2021 Police brutality protests,21-Jun,Free,Death of Ahmed Ben Ammar in police custody on June 8.,Frustration with ongoing police brutality.,">1,000",General public.,2 weeks,No policy/leadership change in response to protest.,,,X,,Thousands,,,,,,Tunis
Tunisia,2022 police brutality protests,22-Sep,Partly free,"Authorities shot and killed Moshen Zeyani, 23, on the suspicion that he was smuggling cigarettes; a month later, Malek Selimi, 24, died from injuries sustained during a police chase.",Anger over police tactics that demonstrators find to be brutal and excessive.,>100,General public.,2 months,No policy/leadership change in response to protests.,,,X,,Hundreds,,,,,,Tunis
Tunisia,Coronavirus crisis protests,21-Jul,Free,A surge in coronavirus infections that has devastated Tunisia’s public health infrastructure and spurred economic insecurity.,"Frustration with the govenrment’s ineffectual coronavirus response, sluggish vaccine rollouts, declining state services, and persistent economic inequality and insecurity.",">1,000",General public.,1 month,President Kais Saied dismissed prime minister Hichem Mechichi and suspended parliament.,,X,X,,Thousands,X,,,,X,Tunis
Tunisia,Economic crisis protests,22-Sep,Partly free,The government introduced price hikes on gas cooking bottles and fuel as part of a plan to reduce energy subsidies.,Anger over food shortages and rising inflation; frustrations with consolidation of power by President Kais Saied.,">1,000",General public.,2 weeks,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,Tunis
Tunisia,Garbage collection protest,22-Nov,Partly free,A fire at a landfil in the city of Sfax created dangerous smoke.,Frustration with poor garbage collection services and the lack of available space in landfills.,">1,000",Residents of Sfax.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Tunis
Tunisia,Migrant shipwreck burial protests,22-Oct,Partly free,"After 18 Tunisian migrants traveling to Europe died in a shipwreck, authorities buried four in a cemetary for recovered bodies of sub-Saharan migrants without attempted to identify the bodies.",Anger with state failure.,">3,000",General public.,1 month,President Kais Saied ordered the Ministry of Justice to open an investigation.,,,X,,Thousands,,,,,,Tunis
Tunisia,Unemployment protests,20-Jun,Free,"High unemployment, failing infrastructure, the killing of a young man by police, and the underdevelopment of southern Tunisia’s economy and private sector.",Government’s failure to honor its 2017 pledge to invest millions in southern Tunisia’s economy and generate jobs.,">1,000",Turkey’s largest pposition party.,1 month,Prime Minister Elyes Fakhfakh resigned.,,X,,,Tens of thousands,X,,,X,,Lomé
Tunisia,Youth protests,21-Jan,Free,"High youth unemployment and dire economic prospects for young people, especially amid the coronavirus pandemic.",Frustration over the lack of economic opportunity for young people.,">10,000",Youth.,3 weeks,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,X,Tunis
Turkey,International Women's Day protest,23-Mar,Not free,The commemoration of International Women's Day.,Anger over continued femicide in Turkey and perceived inadequate protections provided by the Turkish government; anger over the high death toll from Turkey's February 6 earthquake.,"2,000",Women.,1 day,No policy/leadership change in response to the protest.,,,X,,Thousands,,,,,,Ankara
Turkey,Earthquake protests,23-Feb,Not free,"Turkey experienced amagnitude 7.8 earthquake on February 6 that killed more than 40,000 people in the country.","Anger over what protesters believe was a slow and ineffective response to the earthquake, and over government construction policies that the protesters believed contributed to the high death toll.",">1,000",Fans of the Besiktas and Fenerbahce soccer clubs.,2 days,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara
Turkey,Ekrem Imamoglu protests,22-Dec,Not free,A criminal court sentenced Istanbul Mayor Ekrem Imamoglu to two years in prison and banned him from politics for insulting public officials in a speech he made after he won Istanbul’s election in 2019.,Frustration with a lack of political pluralism and suppression of dissent in Turkey.,">1,000","General public, especially supporters of the opposition.",2 days,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara
Turkey,“March for Justice” protest,17-Jul,Not free,End of twenty-five-day “March for Justice” against President Recep Tayyip Erdoğan.,Government crackdown against critics and civil servants and the expansion of executive power.,">100,000",Public service workers’ unions.,1 day,No policy/leadership change in response to the protests.,,,X,,Thousands,,,X,X,,Ankara
Turkey,Economic protest,18-Dec,Not free,"Rising cost of living, high inflation, and “Yellow Vest” movement in France.","Rising inflation, slowing economic growth, and high cost of living.",">1,000","War veterans, moderate critics of Zelensky, nationalist and far-right activists.",1 day,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,X,,Ankara
Turkey,Gender-based violence protest,20-Aug,Not free,"Reports that President Recep Tayyip Erdogan was considering withdrawing Turkey from the Istanbul Convention, which put forward principles to fight violence against women.",Anger over the government’s failure to address persistent violence against women.,">1,000",Women.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara
Turkey,Mayoral appointment protests,19-Sep,Not free,Government move to replace elected Kurdish mayors with state-appointed officials.,Anger over the government’s move to reduce Kurdish autonomy.,">10,000",Kurds.,1 week,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,X,,Ankara
Turkey,Opposition leader conviction protest,22-May,Not free,"A call for protest by the opposition Republican People's Party (CHP) after the conviction and sentencing of Canan Kaftancıoğlu, leader of the Istanbul branch of the CHP.",Frustration with rising autocratization under Recep Tayyip Erdoğan's government and the repression of opposition parties.,">10,000","General public, especially CHP supporters.",1 day,No policy/leadership change in response to protest.,,,X,,Tens of thousands,,,,,,Ankara
Turkey,State of emergency protests,18-Apr,Not free,Announcement that the government would extend a nationwide state of emergency a seventh time.,Concerns over authoritarian consolidation under President Recep Tayyip Erdogan in the wake of the 2016 coup attempt.,">5,000",General public.,1 week,No policy/leadership change in response to protests.,,X,,,Hundreds,X,,,X,,Ankara
Turkey,Treaty withdrawal protests,21-Mar,Not free,Turkish govenrment’s announcement that it would withdraw from the 2011 Istanbul Convention on violence against women.,Anger over widespread gender-based violence and discrimination against LGBT communities.,">1,000","General public, especially women.","9 months, intermittently",No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,Ankara
Turkey,University rector protests,21-Jan,Not free,President Recep Tayyip Erdogan’s appointment of Melih Bulu as rector of Bogazici University.,Concern that the Erdogan govenrment is undermining academic freedom at one of Turkey’s leading universities.,">1,000",Students.,2 months,"In July 2021, Bulu was dismissed as rector.",,,X,,Thousands,X,,,,,Ankara
Turkmenistan,Storm damage protest,20-May,Not free,Government failure to provide aid after a severe storm hit the city of Turkmenabat.,Frustration over poor service delivery and the government’s failure to address reconstruction needs after the storm.,">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Tens of thousands,,,X,X,,Ashgabat
Uganda,Police brutality protest,23-Apr,Not free,"According to protesters, Ugandan police used excessive force to disperse various functions organized by female lawmakers in their local constituencies in the weeks prior.","Anger over perceieved police brutality and excessive force, especially against women.",<100,Female opposition lawmakers.,1 day,No policy/leadership change in response to protest.,,,X,,Tens,,,,,,Kampala
Uganda,Age limit protests,17-Sep,Not free,"Introduction of a legislative proposal to remove the age limit on the presidency, empowering President Yoweri Museveni to stay in power beyond 2021.",Concern over the entrenchment of Museveni’s regime and the removal of constitutional safeguards.,>500,Students.,1 week,No policy/leadership change in response to protests.,,X,,X,Thousands,X,,,,,Kampala
Uganda,Cost of living protests,22-May,Not free,Rising prices of food and fuel.,"Worsening economic conditions, accelerated by the war in Ukraine.",>100,General public.,2 months,No policy/leadership change in response to protests.,,X,X,,Hundreds,,,,,,Kampala
Uganda,Electoral protests,21-Jan,Not free,Declaration by the Ugandan electoral commission that incumbent President Yoweri Museveni had won reelection amid widespread allegations of electoral fraud and manipulation.,Concerns over lack of electoral integrity and meaningful political pluralism.,">1,000",Supporters of opposition leader and presidential candidate Bobi Wine.,1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,X,,,Kampala
Uganda,Internet tax protests,18-Jul,Not free,Announcement of government plans to introduce a tax on social media and online communication platforms.,Concern over the government’s stifling of dissent and raising of taxes on commonly used services.,>500,General public.,1 week,No policy/leadership change in response to protests.,,,X,,Thousands,X,,X,,,Kampala
Uganda,Opposition leader arrest protests,20-Nov,Not free,Arrest of opposition presidential candidates Bobi Wine and Patrick Amuriat.,"Opposition to the entrenchment of incumbent president Yoweri Museveni, lack of genuine political pluralism, and recurring crackdowns on political opposition.",">1,000","General public, especially supporters of Bobi Wine and Patrick Amuriat.",3 months,No policy or leadership change in response to the protests.,,,X,,Thousands,,,X,,,Kampala
Ukraine,Peace plan protests,19-Oct,Partly free,President Volodymyr Zelensky’s decision to grant special status to a separatist region in eastern Ukraine as part of a larger deal with Moscow.,Opposition to policy changes regarding Russia.,"20,000","People’s Vote campaign, pro-EU groups, general public.",1 week,No policy/leadership change in response to the protests.,,,X,,Hundreds,X,,,,X,Kyiv
United Kingdom,Extinction Rebellion protests,23-Apr,Free,Movement organizers called for a mass demonstration to coincide with Earth Day 2023.,Fears that an environmental catastrophe would result from a lack of drastic action to combat climate change.,">1,000",Climate activists.,1 month,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,London
United Kingdom,This Is Rigged protests,23-Jul,Free,Policy decisions of the UK government that protesters believed were insufficient to address climate change,Fears related to the effects of climate change.,<100,Climate activists,Active,No policy/leadership change in response to the protests.,X,,X,,Tens,,,,,,London
United Kingdom,Greenpeace protests,23-Aug,Free,"On July 31, the UK government announced that it would issue new licenses for oil and gas exploration in the North Sea",Anger over perceived government inaction to address climate change.,<100,Climate activists,Active,No policy/leadership change in response to the protests.,X,,X,,Tens,,,,,,London
United Kingdom,Coronation protests,23-May,Free,The coronation of King Charles III.,Frustrations with the high public expenditures on the coronation ceremony; anger that the United Kingdom's head of state is not democratically elected.,">1,000",Republicans.,1 day,"The Metropolitan police arrested fifty-two protesters, drawing condemnation from the UK director of Human Rights Watch.",,,X,,Thousands,,,,,,London
United Kingdom,Pro-doctors protest,23-Mar,Free,"The British Medical Association, a union representing doctors in the UK, called a strike to put pressure on the government to increase wages for junior doctors.","Fears over the consequences of the junior doctors' strike, sympathy with the junior doctors' cause, and anger with the British government for insufficiently paying doctors.",">1,000",General public.,1 day,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,London
United Kingdom,Black Lives Matter protests,20-Jun,Free,"Death of George Floyd in the United States, sparking protests against local police brutality and racism in the UK.",Systemic racism in the UK and the country’s imperial legacy.,Tens of thousands,General public.,1 month,The establishment of a government commission to examine racial inequality.,,,X,,Thousands,X,,,,,London
United Kingdom,Coronavirus lockdown protests,20-May,Free,Enactment of lockdown measures to combat the spread of the coronavirus.,"Skepticism about the coronavirus and vaccines, and concerns over the balance between public health restrictions and freedom.",">10,000","General public, especially far-left and far-right activists, anti-vaxxers, and conspiracy theorists.","15 months, intermittently",No policy/leadership change in response to the protests.,,,X,,Tens of thousands,,,,X,X,London
United Kingdom,Just Stop Oil protests,22-Mar,Free,"The government issued new licenses for the exploration, development and production of fossil fuels",Fears of the impacts of climate change.,<100,Climate activists.,Active,No policy/leadership change in response to protests.,X,,X,,Tens,,,,X,,London
United Kingdom,Kill the bill protests,21-Mar,Free,"Introduction of a crime bill that broadens police powers to regulate protests, and aggressive police response to violence against women protests.",Concerns over limits on the right to assembly.,">5,000",General public.,2 weeks,No policy/leadership change in response to protests.,,,X,,Thousands,,,,,,London
United Kingdom,March of the Mummies,22-Oct,Free,High and increasing costs of childcare in the United Kingdom.,"Fears of economic hardship against the backdrop of soaring inflation in the United Kingdom, structural economic barriers for women.",">15,000",Women.,1 day,No policy/leadership change in response to protests.,,X,X,,Thousands,,,,,,London
